Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Farsi and Arabic document images lossy compression based on the mixed raster content model","International Journal on Document Analysis and Recognition (IJDAR)","","12","4","10.1007/s10032-009-0088-6","Hadi GrailuMojtaba LotfizadHadi Sadoghi-Yazdi","2009","http://link.springer.com/article/10.1007/s10032-009-0088-6","Article"
"Multimodal Video Indexing: A Review of the State-of-the-art","Multimedia Tools and Applications","","25","1","10.1023/B:MTAP.0000046380.27575.a5","Cees G.M. SnoekMarcel Worring","2005","http://link.springer.com/article/10.1023/B%3AMTAP.0000046380.27575.a5","Article"
"On foreground — background separation in low quality document images","International Journal of Document Analysis and Recognition (IJDAR)","","8","1","10.1007/s10032-005-0007-4","Utpal GarainThierry PaquetLaurent Heutte","2006","http://link.springer.com/article/10.1007/s10032-005-0007-4","Article"
"From Interactive Open Learner Modelling to Intelligent Mentoring: STyLE-OLM and Beyond","International Journal of Artificial Intelligence in Education","","26","1","10.1007/s40593-015-0087-3","Vania DimitrovaPaul Brna","2016","http://link.springer.com/article/10.1007/s40593-015-0087-3","Article"
"Contextual normalization applied to aircraft gas turbine engine diagnosis","Applied Intelligence","","3","2","10.1007/BF00871892","Peter TurneyMichael Halasz","1993","http://link.springer.com/article/10.1007/BF00871892","Article"
"Low - resolution vehicle recognition based on deep feature fusion","Multimedia Tools and Applications","","","","10.1007/s11042-018-5940-6","Lixia XueXin ZhongRonggui WangJuan YangMin Hu","2018","http://link.springer.com/article/10.1007/s11042-018-5940-6","Article"
"Spectacle-Based Design of Wearable See-Through Display for Accommodation-Free Viewing","Pervasive Computing","","","","10.1007/978-3-540-24646-6_7","Marc von WaldkirchPaul LukowiczGerhard Tröster","2004","http://link.springer.com/chapter/10.1007/978-3-540-24646-6_7","Chapter"
"Diversity Analysis for Ensembles of Word Sequence Recognisers","Structural, Syntactic, and Statistical Pattern Recognition","","","","10.1007/11815921_74","Roman BertolamiHorst Bunke","2006","http://link.springer.com/chapter/10.1007/11815921_74","Chapter"
"On the Discovery of the Semantic Context of Queries by Game-Playing","Flexible Query Answering Systems","","","","10.1007/978-3-540-25957-2_17","Alessandro AgostiniPaolo Avesani","2004","http://link.springer.com/chapter/10.1007/978-3-540-25957-2_17","Chapter"
"Building a General Knowledge Base of Physical Objects for Robots","The Semantic Web","","","","10.1007/978-3-319-47602-5_2","Valerio BasileElena CabrioFabien Gandon","2016","http://link.springer.com/chapter/10.1007/978-3-319-47602-5_2","Chapter"
